HS Code,HS Description,Country Name,Financial_Year,INR_Cr,USD_Mn
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",QATAR,2021-22,6344.9375541,854.4955798668
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",QATAR,2022-23,12806.7783862,1619.6171802565
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",QATAR,2023-24,10813.7557205,1311.071897
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",QATAR,2024-25,8114.3073713,972.733291
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",QATAR,2025-26,13225.1601821,1517.054663
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",QATAR,2026-27,12878.7583126,1390.900049
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",RUSSIA,2019-20,10276.0630429,1469.7815763348
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",RUSSIA,2020-21,6842.8637167,926.6656021367
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",RUSSIA,2021-22,17079.3061066,2307.6099107151
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",RUSSIA,2022-23,168428.3685944,21003.8858902245
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",RUSSIA,2023-24,369348.4033306,44710.472903
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",RUSSIA,2024-25,436787.0082,52222.550145
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",RUSSIA,2025-26,378393.4345291,43484.642733
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",RUSSIA,2026-27,270416.6445696,28780.770865
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",SAUDI ARAB,2019-20,145658.7714901,20692.1077671847
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",SAUDI ARAB,2020-21,92027.8420129,12501.521437175
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",SAUDI ARAB,2021-22,132510.6018398,17887.8447712333
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",SAUDI ARAB,2022-23,235669.1896055,30033.8089408817
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",SAUDI ARAB,2023-24,192394.5513846,23295.20976
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",SAUDI ARAB,2024-25,168651.0642797,20164.476903
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",SAUDI ARAB,2025-26,174501.1966551,20028.882331
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",SAUDI ARAB,2026-27,94726.8514732,10199.25137
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",U S A,2019-20,32649.2349024,4644.0791531414
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",U S A,2020-21,27412.116152,3710.1281563092
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",U S A,2021-22,76860.26819,10399.7427082913
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",U S A,2022-23,90782.7668275,11537.3212744603
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",U S A,2023-24,57618.3078907,6978.585869
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",U S A,2024-25,45028.0366385,5374.597116
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",U S A,2025-26,85221.3848925,9803.22601
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",U S A,2026-27,30085.1434428,3232.413896
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,ANGOLA,2019-20,1.2847292,0.1837888941
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,ANGOLA,2020-21,0.0,0.0
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,ANGOLA,2021-22,0.007896,0.0010599155
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,ANGOLA,2022-23,0.018977,0.002493068
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,ANGOLA,2023-24,0.015888,0.001933
